
53142,7,N/A,44
60002,39,N/A,272
60004,68,N/A,847
60005,51,N/A,292
60007,73,N/A,332
60008,62,N/A,226
60010,34,N/A,243
60012,24,N/A,83
60013,36,N/A,149
60014,60,N/A,324
60015,82,N/A,431
60016,416,N/A,1170
60018,154,N/A,493
60020,14,N/A,91
60021,6,N/A,35
60022,17,N/A,130
60025,163,N/A,773
60026,73,N/A,264
60030,49,N/A,358
60031,106,N/A,501
60033,26,N/A,125
60035,133,N/A,577
60040,29,N/A,88
60041,12,N/A,78
60042,7,N/A,52
60043,14,N/A,56
60044,41,N/A,172
60045,78,N/A,319
60046,63,N/A,370
60047,54,N/A,252
60048,50,N/A,272
60050,66,N/A,253
60051,24,N/A,200
60053,115,N/A,499
60056,180,N/A,725
60060,99,N/A,368
60061,54,N/A,260
60062,109,N/A,644
60064,219,N/A,395
60067,44,N/A,315
60068,124,N/A,523
60069,21,N/A,130
60070,54,N/A,201
60073,178,N/A,613
60074,97,N/A,352
60076,212,N/A,945
60077,174,N/A,749
60081,21,N/A,85
60083,31,N/A,118
60084,67,N/A,126
60085,711,N/A,1330
60087,189,N/A,428
60088,18,N/A,46
60089,87,N/A,405
60090,158,N/A,581
60091,81,N/A,493
60093,90,N/A,379
60096,13,N/A,72
60097,16,N/A,90
60098,93,N/A,335
60099,195,N/A,443
60101,175,N/A,580
60102,38,N/A,206
60103,59,N/A,329
60104,187,N/A,527
60106,152,N/A,416
60107,139,N/A,409
60108,59,N/A,416
60110,83,N/A,220
60112,8,N/A,25
60115,30,N/A,254
60118,19,N/A,86
60119,11,N/A,80
60120,119,N/A,328
60123,105,N/A,365
60124,19,N/A,124
60126,110,N/A,568
60130,53,N/A,311
60131,98,N/A,377
60133,144,N/A,412
60134,37,N/A,200
60136,15,N/A,57
60137,44,N/A,329
60139,126,N/A,464
60140,22,N/A,133
60141,7,N/A,116
60142,26,N/A,187
60143,26,N/A,109
60148,110,N/A,534
60152,11,N/A,79
60153,156,N/A,591
60154,87,N/A,417
60155,54,N/A,203
60156,32,N/A,185
60160,161,N/A,507
60162,66,N/A,211
60163,30,N/A,97
60164,124,N/A,630
60165,47,N/A,103
60169,83,N/A,311
60171,44,N/A,207
60172,39,N/A,192
60173,14,N/A,98
60174,29,N/A,286
60175,25,N/A,208
60176,32,N/A,160
60177,33,N/A,160
60178,12,N/A,141
60181,87,N/A,340
60185,104,N/A,408
60187,36,N/A,278
60188,142,N/A,501
60189,41,N/A,239
60190,10,N/A,98
60191,35,N/A,178
60192,17,N/A,128
60193,68,N/A,313
60194,38,N/A,169
60195,6,N/A,32
60201,150,N/A,976
60202,135,N/A,825
60203,16,N/A,91
60301,12,N/A,61
60302,98,N/A,608
60304,39,N/A,277
60305,19,N/A,160
60401,27,N/A,133
60402,378,N/A,1371
60403,56,N/A,404
60404,44,N/A,286
60406,125,N/A,482
60408,6,N/A,65
60409,242,N/A,900
60410,14,N/A,144
60411,345,N/A,1368
60415,91,N/A,277
60417,72,N/A,314
60418,40,N/A,148
60419,171,N/A,646
60422,54,N/A,240
60423,71,N/A,379
60425,56,N/A,281
60426,195,N/A,737
60428,101,N/A,420
60429,119,N/A,593
60430,122,N/A,481
60431,80,N/A,504
60432,69,N/A,325
60433,88,N/A,309
60434,109,N/A,58
60435,268,N/A,1131
60436,59,N/A,399
60438,145,N/A,596
60439,46,N/A,274
60440,217,N/A,1076
60441,89,N/A,446
60442,19,N/A,119
60443,185,N/A,706
60445,59,N/A,267
60446,148,N/A,722
60447,11,N/A,168
60448,53,N/A,241
60449,40,N/A,212
60450,15,N/A,140
60451,51,N/A,322
60452,74,N/A,353
60453,237,N/A,846
60455,81,N/A,276
60456,16,N/A,67
60457,44,N/A,164
60458,31,N/A,222
60459,116,N/A,404
60461,34,N/A,155
60462,106,N/A,492
60463,53,N/A,223
60464,18,N/A,108
60465,64,N/A,247
60466,303,N/A,982
60467,79,N/A,322
60468,14,N/A,45
60469,23,N/A,94
60471,108,N/A,450
60472,38,N/A,159
60473,207,N/A,693
60475,40,N/A,176
60476,6,N/A,36
60477,85,N/A,465
60478,144,N/A,671
60480,15,N/A,94
60481,10,N/A,116
60482,24,N/A,156
60484,56,N/A,210
60487,55,N/A,310
60490,66,N/A,377
60491,73,N/A,278
60501,64,N/A,203
60502,28,N/A,165
60503,16,N/A,103
60504,66,N/A,303
60505,212,N/A,476
60506,170,N/A,581
60510,31,N/A,240
60513,58,N/A,365
60514,24,N/A,143
60515,29,N/A,207
60516,41,N/A,271
60517,76,N/A,381
60521,42,N/A,310
60523,38,N/A,181
60525,97,N/A,573
60526,27,N/A,239
60527,142,N/A,591
60532,46,N/A,243
60534,44,N/A,173
